sexo;idade;formacao;curso;anoFormacao;tempoProfissional;tempoFuncao;funcao;metodologia;existenciaProjeto;mesesNoProjeto;@12.Emrelaçãoassuascaracterísticasporfavorresponda;S1;S2;S3;C2;C3;C4;C1;EM4;EM1;EM3;EM2;T3;T1;T4;T2;I2;I1;I4;I3;Desvio
Feminino;26;Especialização;Sistemas de Informação;2017;4;2;Desenvolvedor;Híbrida;10;2; ;6;7;6;5;6;5;7;5;6;5;6;6;6;6;6;7;7;6;6;0,666666667
Masculino;42;Especialização;Sistemas de Informação;2010;20;18;DBA;Ágil;2;2; ;7;7;7;5;7;5;7;7;7;7;7;7;7;7;7;7;7;6;6;0,671038298
Masculino;28;Superior incompleto;Tecnólogo em Sistemas para Internet;2020;10;1;Desenvolvedor;Tradicional;10;3; ;6;6;5;7;7;6;5;6;6;7;6;6;7;7;7;7;6;7;7;0,683985568
Masculino;25;Superior incompleto;Ciência da computação;2019;3;2;Desenvolvedor;Híbrida;11;11; ;6;6;5;6;5;6;6;4;5;5;5;6;5;5;6;6;5;6;4;0,683985568
Masculino;28;Mestrado;Sistemas de Informação;2018;6;6;Desenvolvedor;Ágil;10;6; ;7;5;6;6;6;5;7;6;6;6;5;6;6;7;6;7;7;6;7;0,688247202
Masculino;32;Mestrado;Ciência da computação;2012;11;3;Desenvolvedor;Ágil;11;11; ;5;7;6;7;7;7;7;6;7;7;6;7;5;7;6;7;7;7;7;0,692482609
Masculino;26;Superior completo;Análise e Desenvolvimento de Sistemas;2015;7;6;Desenvolvedor;Ágil;300;1; ;5;7;6;7;7;6;7;7;7;6;5;7;7;6;7;7;7;7;7;0,692482609
Feminino;29;Superior completo;Sistemas de Informação;2019;3;1;Desenvolvedor;Ágil;6;6; ;7;7;5;6;6;5;7;6;6;7;6;6;7;7;7;7;7;7;7;0,696692268
Feminino;27;Superior completo;Sistemas de Informação;2015;3;2;Testador;Ágil;5;5; ;7;7;6;5;7;7;7;6;6;7;6;7;5;7;6;7;7;7;7;0,696692268
Masculino;25;Superior completo;Engenharia de Controle e Automação;2018;3;3;Desenvolvedor;Ágil;36;12; ;5;7;7;7;5;7;6;6;7;6;7;7;6;6;7;7;7;7;7;0,696692268
Masculino;28;Superior incompleto;Ciência da computação;2019;5;5;Testador;Ágil;24;14; ;6;7;7;7;5;7;6;7;6;6;6;7;7;7;7;5;6;7;7;0,696692268
Feminino;23;Superior incompleto;Análise e desenvolvimento de sistemas;2020;1.9;1.9;Desenvolvedor;Ágil;24;3; ;6;6;6;6;7;5;4;7;6;6;6;6;6;6;6;7;6;6;7;0,705036186
Feminino;27;Superior completo;Sistemas de Informação;2017;2;1,5;Testador;Tradicional;18;18; ;5;6;7;6;5;5;6;6;7;6;5;5;6;6;7;7;6;6;6;0,705036186
Masculino;44;Doutorado;Ciência da computação;2006;20;10;Gerente;Ágil;36;36; ;6;5;6;7;7;5;6;5;6;5;6;7;6;6;7;7;6;6;6;0,705036186
Masculino;28;Superior completo;Sistemas de Informação;2015;6;3;DBA;Ágil;12;1; ;5;7;6;5;6;6;6;5;6;6;6;6;6;7;7;6;7;7;5;0,705036186
Masculino;29;Superior completo;Engenharia da Computação;2016;3;2;Desenvolvedor;Ágil;36;3; ;4;6;4;5;5;4;5;4;4;5;5;5;5;4;5;6;6;4;5;0,713282504
Masculino;23;Especialização;Desenvolvimento de aplicações móveis;2020;5;5;Desenvolvedor;Híbrida;10;10; ;7;7;6;7;7;7;4;7;7;7;7;7;7;7;7;7;7;7;7;0,713282504
Masculino;36;Mestrado;Ciência da computação;2006;11;6;Analista;Híbrida;12;36; ;7;7;7;7;7;7;7;6;7;7;4;7;7;7;7;7;7;7;7;0,713282504
Masculino;39;Especialização;Ciência da computação;2018;15;1;Desenvolvedor;Ágil;36;4; ;7;7;6;7;6;6;7;6;5;6;5;6;5;6;6;7;7;7;7;0,733492806
Masculino;24;Superior completo;Sistemas de Informação;2018;2;2;Desenvolvedor;Ágil;48;24; ;7;7;5;6;6;5;6;6;6;7;5;7;6;6;7;7;7;7;6;0,733492806
