sexo;idade;formacao;curso;anoFormacao;tempoProfissional;tempoFuncao;funcao;metodologia;existenciaProjeto;mesesNoProjeto;@12.Emrelaçãoassuascaracterísticasporfavorresponda;S1;S2;S3;C2;C3;C4;C1;EM4;EM1;EM3;EM2;T3;T1;T4;T2;I2;I1;I4;I3;@13.Pararesponderasquestõesabaixoconsidereseuprojetoatua;equipe1;reque1;reque2;reque3;tec1;req4;tec2;tec3;tec4;req5;equipe2;equipe3;req6;tec5;tec6;req7;equipe4;@14.Emrelaçãoaoseudiaadiadotrabalho;ci2;et6;ci3;et4;ee6;ee2;et5;ci1;ee4;ee1;et1;et2;et3;ee3;ci4;ee5;@15.Emrelaçãoasuasatisfaçãocomotrabalho;sat1;sat2;sat3;FAC1_1;FAC2_1;FAC3_1;FAC4_1;FAC5_1;FAC1_2;FAC2_2;FAC3_2;FAC4_2;FAC5_2
Feminino;27;Superior completo;Sistemas de Informação;2016;5;5;Desenvolvedor;Ágil;12;2; ;7;7;7;7;7;7;7;7;5;5;5;7;7;7;7;7;7;7;7; ;6;6;6;6;6;6;6;6;6;6;6;7;6;7;6;6;6; ;1;7;1;7;1;1;6;1;1;1;7;7;7;1;1;1; ;7;7;1;,34901604780492;1,2650376400516;1,18195392940562;1,1657993647592;1,01691538020207;,34901604780492;1,2650376400516;1,18195392940562;1,1657993647592;1,01691538020207
Feminino;24;Superior completo;Sistemas para Internet;2018;2;1;Desenvolvedor;Ágil;10;10; ;6;6;6;7;5;4;7;6;7;5;7;7;6;5;6;7;6;6;6; ;7;6;7;7;3;7;6;5;4;7;2;3;7;5;7;3;4; ;6;6;3;3;5;4;6;3;2;4;4;4;6;6;3;4; ;4;5;2;,523351322240379;-,0499005033654248;,106731050817666;,881457599894326;,035584368591169;,523351322240379;-,0499005033654248;,106731050817666;,881457599894326;,035584368591169
Feminino;23;Superior incompleto;Análise de Sistemas;2020;3;3;Analista;Ágil;2;2; ;7;7;6;6;7;4;4;6;6;5;5;5;6;6;6;6;7;4;6; ;6;6;2;3;2;7;1;6;5;7;3;5;6;1;5;7;7; ;7;4;2;1;7;7;3;7;7;7;5;1;5;7;7;7; ;1;1;7;,173399361075372;,179885311826326;,0613937320041865;,250214567327984;-,969352171593374;,173399361075372;,179885311826326;,0613937320041865;,250214567327984;-,969352171593374
Feminino;25;Superior incompleto;Sistemas de Informação;2020;4;4;Desenvolvedor;Ágil;36;6; ;3;3;1;5;6;5;2;3;2;5;3;5;4;6;4;7;6;6;7; ;2;7;7;6;5;7;1;5;3;6;2;7;7;5;7;7;4; ;7;1;2;2;7;7;1;7;6;7;6;3;3;7;2;7; ;2;3;6;-1,68247093486641;-1,91269788583152;-,362042270248166;-4,20745110420863;1,11575881178562;-1,68247093486641;-1,91269788583152;-,362042270248166;-4,20745110420863;1,11575881178562
Feminino;25;Especialização;Engenharia da Computação;2020;6;6;Desenvolvedor;Ágil;12;6; ;5;7;6;5;5;1;5;7;5;5;5;4;7;4;7;7;6;5;7; ;6;7;6;5;6;6;3;6;6;6;3;4;5;5;7;5;5; ;6;5;6;4;1;6;7;6;2;5;5;2;4;6;6;7; ;4;2;2;-,253739597329131;,248382388395586;,628011920620047;,0766459283199104;-2,25198370196214;-,253739597329131;,248382388395586;,628011920620047;,0766459283199104;-2,25198370196214
Feminino;24;Superior completo;Ciência da computação;2016;6;6;DBA;Híbrida;60;14; ;5;6;4;4;5;4;4;4;4;5;6;5;4;4;5;6;6;5;6; ;4;3;3;5;3;4;3;6;3;3;3;4;5;5;7;3;3; ;7;3;1;4;1;6;5;3;4;3;7;6;4;5;1;7; ;2;3;4;-,666060297134768;-1,33420920126489;-,600753364822015;-1,31201525873579;-,783893559057148;-,666060297134768;-1,33420920126489;-,600753364822015;-1,31201525873579;-,783893559057148
Feminino;27;Superior completo;Sistemas de Informação;2014;5;3;Analista;Híbrida;240;10; ;6;7;6;6;4;4;6;3;5;5;5;4;5;4;7;6;5;4;4; ;7;5;5;4;4;5;4;5;4;4;6;2;7;2;7;4;7; ;4;4;3;4;2;3;5;3;2;2;7;5;4;4;1;4; ;5;5;2;-1,10120478460067;-,580227146785085;-1,50168634414992;1,38069506888211;-1,5987188491621;-1,10120478460067;-,580227146785085;-1,50168634414992;1,38069506888211;-1,5987188491621
Feminino;27;Especialização;Ciência da computação;2020;7;1;Gerente;Ágil;4;4; ;5;7;7;4;7;7;7;7;7;5;1;7;7;7;7;7;7;7;7; ;7;7;1;1;7;1;4;7;7;1;7;7;7;4;3;7;7; ;1;7;1;5;1;4;6;1;1;1;7;7;7;1;1;1; ;6;6;1;-,542178460244074;1,79027291173588;1,46719713648974;,793937360046759;,221369663254247;-,542178460244074;1,79027291173588;1,46719713648974;,793937360046759;,221369663254247
Feminino;38;Mestrado;Mestrado em sistemas e computação;2010;19;19;Desenvolvedor;Ágil;12;2; ;6;4;4;7;7;5;7;6;6;7;4;7;7;4;7;7;7;7;7; ;5;7;5;5;5;5;1;3;5;4;4;1;5;3;7;7;3; ;7;2;4;4;4;6;4;5;2;7;4;3;4;7;4;7; ;2;1;2;,186121093612992;,284105716755721;,652996248542927;-,514645128385162;1,5439251970947;,186121093612992;,284105716755721;,652996248542927;-,514645128385162;1,5439251970947
Feminino;27;Especialização;Engenharia da Computação;2021;2;3;Testador;Ágil;1;6; ;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;6;6;6;6; ;6;6;6;6;6;5;6;6;5;6;6;6;6;6;6;6;6; ;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6; ;6;6;6;,616381525470693;-,219951893865882;-,46412893764569;,236775343452858;,438181784851257;,616381525470693;-,219951893865882;-,46412893764569;,236775343452858;,438181784851257
Feminino;25;Especialização;Engenharia de Software;2018;6;1;DBA;Ágil;36;36; ;6;6;6;5;5;6;7;5;6;7;6;7;7;6;7;7;7;7;7; ;7;6;7;6;7;7;7;3;5;6;7;7;6;5;7;6;2; ;3;5;2;4;5;5;5;1;1;4;7;5;5;1;1;5; ;5;5;1;,620613750653236;,944543312925484;,660072950934608;,25272967508766;,37116057910525;,620613750653236;,944543312925484;,660072950934608;,25272967508766;,37116057910525
Feminino;20;Superior incompleto;Engenharia da Computação;2021;2;2;Desenvolvedor;Ágil;1;1; ;4;6;5;3;4;5;6;5;4;3;4;5;5;6;5;7;5;5;6; ;1;3;4;6;7;4;2;7;1;5;5;4;6;4;6;5;5; ;5;5;3;4;3;4;5;4;2;2;4;3;3;4;3;4; ;5;5;2;-1,52607389396252;-,685811367915412;-,443616841986277;-,319328577644917;-1,10611151971599;-1,52607389396252;-,685811367915412;-,443616841986277;-,319328577644917;-1,10611151971599
Feminino;30;Mestrado;Ciência da computação;2012;5;5;Analista;Ágil;3;2; ;4;5;4;4;4;4;4;6;4;5;5;4;6;6;6;4;6;6;6; ;7;6;6;6;5;6;5;5;5;6;7;6;6;6;6;6;7; ;6;3;3;4;6;6;5;4;6;7;4;3;5;7;2;7; ;4;3;6;-,207493210054926;,025762877355912;-1,50909029724059;-1,6973117093583;-1,56954447125209;-,207493210054926;,025762877355912;-1,50909029724059;-1,6973117093583;-1,56954447125209
Feminino;35;Mestrado;Ciência da computação;2012;14;14;Analista;Híbrida;6;6; ;6;6;5;6;5;5;5;4;7;5;6;7;5;7;6;7;6;4;6; ;2;5;7;5;2;5;2;4;5;5;4;2;3;5;3;5;3; ;3;5;1;4;2;2;6;2;2;2;7;6;5;7;2;7; ;5;5;2;,0711693755676013;-,140668450806607;-,335119791757319;-,0631113492666536;-,233540397350162;,0711693755676013;-,140668450806607;-,335119791757319;-,0631113492666536;-,233540397350162
